test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs,arc,nsim_em,True,,,False,7.158718585968018,31752,20276
tests/kernel/msgq/msgq_api/kernel.message_queue,arc,nsim_em,True,,,False,7.752071857452393,94434,63449
tests/kernel/mutex/mutex_api/kernel.mutex,arc,nsim_em,True,,,False,8.243226051330566,80442,58313
tests/kernel/mutex/sys_mutex/sys.mutex,arc,nsim_em,True,,,False,7.754419803619385,108963,61394
tests/kernel/mutex/sys_mutex/sys.mutex.nouser,arc,nsim_em,True,,,False,7.053304195404053,37716,26144
tests/kernel/obj_tracing/kernel.object_tracing,arc,nsim_em,True,,,False,6.99285888671875,49408,27988
tests/kernel/pending/kernel.common.timing,arc,nsim_em,True,,,False,7.00486946105957,42756,29188
tests/kernel/pipe/pipe/kernel.pipe,arc,nsim_em,True,,,False,7.470123052597046,85442,63085
tests/kernel/pipe/pipe_api/kernel.pipe,arc,nsim_em,True,,,False,7.4540956020355225,89426,62377
tests/kernel/poll/kernel.poll,arc,nsim_em,True,,,False,7.752206802368164,96926,69921
tests/kernel/profiling/profiling_api/kernel.profiling,arc,nsim_em,True,,,False,7.16244101524353,35390,25432
tests/kernel/queue/kernel.queue,arc,nsim_em,True,,,False,7.574244022369385,100030,64161
tests/kernel/queue/kernel.queue.poll,arc,nsim_em,True,,"CONF_FILE=""prj_poll.conf""",False,7.936709642410278,104414,68517
tests/kernel/sched/deadline/kernel.sched.deadline,arc,nsim_em,True,,,False,8.015549182891846,33836,22032
tests/kernel/sched/preempt/kernel.sched.preempt,arc,nsim_em,True,,,False,9.819947242736816,36912,23564
tests/kernel/sched/schedule_api/kernel.sched,arc,nsim_em,True,,,False,23.66248846054077,141210,70057
tests/kernel/sched/schedule_api/kernel.sched.multiq,arc,nsim_em,True,,CONF_FILE=prj_multiq.conf,False,24.20435404777527,141450,70045
tests/kernel/sched/schedule_api/kernel.sched.multiq_no_timeslicing,arc,nsim_em,True,,CONF_FILE=prj_multiq.conf,False,7.946171522140503,136738,66845
tests/kernel/sched/schedule_api/kernel.sched_no_timeslicing,arc,nsim_em,True,,,False,8.054580926895142,136518,66877
tests/kernel/semaphore/sema_api/kernel.semaphore,arc,nsim_em,True,,,False,7.252470016479492,80018,57893
tests/kernel/semaphore/semaphore/kernel.semaphore,arc,nsim_em,True,,,False,7.339142560958862,115914,64057
tests/kernel/sleep/kernel.common.timing,arc,nsim_em,True,,,False,7.3537681102752686,85267,58862
tests/kernel/stack/stack_api/kernel.stack,arc,nsim_em,True,,,False,7.337659120559692,81538,59085
tests/kernel/stack/stack_usage/kernel.stack.usage,arc,nsim_em,True,,,False,7.893897771835327,80494,58337
