test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem,arc,nsim_em_mpu_stack_guard,True,,,False,7.190168857574463,126103,62438
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem.nouser,arc,nsim_em_mpu_stack_guard,True,,,False,7.2534778118133545,68892,26728
tests/kernel/mem_protect/syscalls/kernel.memory_protection.syscalls,arc,nsim_em_mpu_stack_guard,True,,,False,7.411599636077881,88022,61817
tests/kernel/mem_protect/userspace/kernel.memory_protection.userspace,arc,nsim_em_mpu_stack_guard,True,,,False,10.854416608810425,146663,73265
tests/kernel/mem_slab/mslab/kernel.memory_slabs,arc,nsim_em_mpu_stack_guard,True,,,False,6.8537352085113525,47100,21948
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs,arc,nsim_em_mpu_stack_guard,True,,,False,6.901822566986084,40788,23808
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs,arc,nsim_em_mpu_stack_guard,True,,,False,6.842893838882446,51908,22368
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs,arc,nsim_em_mpu_stack_guard,True,,,False,6.9295995235443115,54348,20400
tests/kernel/msgq/msgq_api/kernel.message_queue,arc,nsim_em_mpu_stack_guard,True,,,False,7.80908465385437,108586,63361
tests/kernel/mutex/mutex_api/kernel.mutex,arc,nsim_em_mpu_stack_guard,True,,,False,7.520353555679321,90650,58345
tests/kernel/mutex/sys_mutex/sys.mutex,arc,nsim_em_mpu_stack_guard,True,,,False,7.604338645935059,131243,61306
tests/kernel/mutex/sys_mutex/sys.mutex.nouser,arc,nsim_em_mpu_stack_guard,True,,,False,6.890787363052368,72576,26268
tests/kernel/obj_tracing/kernel.object_tracing,arc,nsim_em_mpu_stack_guard,True,,,False,7.133514881134033,79148,28112
tests/kernel/pending/kernel.common.timing,arc,nsim_em_mpu_stack_guard,True,,,False,7.053736209869385,67396,29316
tests/kernel/pipe/pipe/kernel.pipe,arc,nsim_em_mpu_stack_guard,True,,,False,7.646637439727783,95770,63237
tests/kernel/pipe/pipe_api/kernel.pipe,arc,nsim_em_mpu_stack_guard,True,,,False,7.636999845504761,101546,62289
tests/kernel/poll/kernel.poll,arc,nsim_em_mpu_stack_guard,True,,,False,7.696428298950195,109166,69953
tests/kernel/profiling/profiling_api/kernel.profiling,arc,nsim_em_mpu_stack_guard,True,,,False,7.453814268112183,35370,25412
tests/kernel/queue/kernel.queue,arc,nsim_em_mpu_stack_guard,True,,,False,8.7877357006073,116334,64193
tests/kernel/queue/kernel.queue.poll,arc,nsim_em_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,9.776219129562378,120718,68549
tests/kernel/sched/deadline/kernel.sched.deadline,arc,nsim_em_mpu_stack_guard,True,,,False,8.129732370376587,72784,22156
tests/kernel/sched/preempt/kernel.sched.preempt,arc,nsim_em_mpu_stack_guard,True,,,False,10.316674947738647,65892,23688
tests/kernel/sched/schedule_api/kernel.sched,arc,nsim_em_mpu_stack_guard,True,,,False,31.12577986717224,173578,70137
tests/kernel/sched/schedule_api/kernel.sched.multiq,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_multiq.conf,False,31.036235809326172,173818,70125
tests/kernel/sched/schedule_api/kernel.sched.multiq_no_timeslicing,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_multiq.conf,False,8.718501567840576,169186,66845
tests/kernel/sched/schedule_api/kernel.sched_no_timeslicing,arc,nsim_em_mpu_stack_guard,True,,,False,8.66458249092102,168966,66877
tests/kernel/semaphore/sema_api/kernel.semaphore,arc,nsim_em_mpu_stack_guard,True,,,False,8.955100536346436,90226,57925
tests/kernel/semaphore/semaphore/kernel.semaphore,arc,nsim_em_mpu_stack_guard,True,,,False,8.1525559425354,140106,63849
tests/kernel/sleep/kernel.common.timing,arc,nsim_em_mpu_stack_guard,True,,,False,7.196486711502075,97387,58774
tests/kernel/stack/stack_api/kernel.stack,arc,nsim_em_mpu_stack_guard,True,,,False,7.097763538360596,91686,59057
tests/kernel/stack/stack_usage/kernel.stack.usage,arc,nsim_em_mpu_stack_guard,True,,,False,7.468151807785034,90702,58369
tests/kernel/threads/dynamic_thread/kernel.threads.dynamic,arc,nsim_em_mpu_stack_guard,True,,,False,7.485166788101196,94330,57965
tests/kernel/threads/no-multithreading/kernel.threads.no-multithreading,arc,nsim_em_mpu_stack_guard,True,,,False,7.024042129516602,15852,11448
tests/kernel/threads/thread_apis/kernel.threads,arc,nsim_em_mpu_stack_guard,True,,,False,7.35500431060791,120797,68881
tests/kernel/threads/thread_init/kernel.threads,arc,nsim_em_mpu_stack_guard,True,,,False,7.262283802032471,109170,58065
tests/kernel/tickless/tickless_concept/kernel.tickless,arc,nsim_em_mpu_stack_guard,True,,,False,7.338996410369873,55660,21972
tests/kernel/timer/timer_api/kernel.timer,arc,nsim_em_mpu_stack_guard,True,,,False,8.969735145568848,89830,63429
tests/kernel/timer/timer_api/kernel.timer.tickless,arc,nsim_em_mpu_stack_guard,True,,"CONF_FILE=""prj_tickless.conf""",False,,44520,27236
tests/kernel/timer/timer_monotonic/kernel.timer,arc,nsim_em_mpu_stack_guard,True,,,False,18.221905946731567,38408,21564
tests/kernel/workq/work_queue/kernel.workqueue,arc,nsim_em_mpu_stack_guard,True,,,False,6.989953279495239,53876,28340
tests/kernel/workq/work_queue/kernel.workqueue.poll,arc,nsim_em_mpu_stack_guard,True,,,False,7.058692932128906,56884,31336
tests/kernel/workq/work_queue_api/kernel.workqueue,arc,nsim_em_mpu_stack_guard,True,,,False,7.41997504234314,108302,62177
tests/lib/c_lib/libraries.libc,arc,nsim_em_mpu_stack_guard,True,,,False,6.933007001876831,39783,22929
tests/lib/fdtable/libraries.os.fdtable,arc,nsim_em_mpu_stack_guard,True,,,False,7.2129905223846436,41252,22984
tests/lib/json/libraries.encoding,arc,nsim_em_mpu_stack_guard,True,,,False,7.065178871154785,49196,32352
tests/lib/mem_alloc/libraries.libc.minimal,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj.conf,False,7.4071044921875,88330,62329
tests/lib/mem_alloc/libraries.libc.newlib,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_newlib.conf,False,7.474898815155029,88390,62389
tests/lib/ringbuffer/libraries.data_structures,arc,nsim_em_mpu_stack_guard,True,,,False,7.0864527225494385,44693,26724
tests/lib/sprintf/libraries.libc,arc,nsim_em_mpu_stack_guard,True,,,False,7.109698295593262,52432,35588
tests/lib/timeutil/libraries.libc.minimal,arc,nsim_em_mpu_stack_guard,True,,,False,6.810505151748657,42584,25704
tests/misc/test_build/test_debug,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=debug.conf,False,,44984,23956
