test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/kernel/pipe/pipe_api/kernel.pipe,arc,nsim_hs,True,,,False,7.020857810974121,39660,31596
tests/kernel/poll/kernel.poll,arc,nsim_hs,True,,,False,6.768974781036377,42016,34676
tests/kernel/profiling/profiling_api/kernel.profiling,arc,nsim_hs,True,,,False,6.999475717544556,31986,24592
tests/kernel/queue/kernel.queue,arc,nsim_hs,True,,,False,6.923271417617798,34984,27660
tests/kernel/queue/kernel.queue.poll,arc,nsim_hs,True,,"CONF_FILE=""prj_poll.conf""",False,6.738828182220459,37908,30556
tests/kernel/sched/deadline/kernel.sched.deadline,arc,nsim_hs,True,,,False,6.820938587188721,28820,21308
tests/kernel/sched/preempt/kernel.sched.preempt,arc,nsim_hs,True,,,False,8.52560019493103,32028,22968
tests/kernel/sched/schedule_api/kernel.sched,arc,nsim_hs,True,,,False,14.931510210037231,45696,30240
tests/kernel/sched/schedule_api/kernel.sched.multiq,arc,nsim_hs,True,,CONF_FILE=prj_multiq.conf,False,15.585031747817993,45892,30184
tests/kernel/sched/schedule_api/kernel.sched.multiq_no_timeslicing,arc,nsim_hs,True,,CONF_FILE=prj_multiq.conf,False,7.604553699493408,42084,27608
tests/kernel/sched/schedule_api/kernel.sched_no_timeslicing,arc,nsim_hs,True,,,False,7.1182475090026855,41836,27612
tests/kernel/semaphore/sema_api/kernel.semaphore,arc,nsim_hs,True,,,False,7.027688264846802,24872,19828
tests/kernel/semaphore/semaphore/kernel.semaphore,arc,nsim_hs,True,,,False,6.673142433166504,45600,31328
tests/kernel/sleep/kernel.common.timing,arc,nsim_hs,True,,,False,6.680742025375366,29645,24189
tests/kernel/stack/stack_api/kernel.stack,arc,nsim_hs,True,,,False,6.735339641571045,29396,24012
tests/kernel/stack/stack_usage/kernel.stack.usage,arc,nsim_hs,True,,,False,7.183810710906982,25828,20752
tests/kernel/threads/no-multithreading/kernel.threads.no-multithreading,arc,nsim_hs,True,,,False,7.237724781036377,13144,10772
tests/kernel/threads/thread_apis/kernel.threads,arc,nsim_hs,True,,,False,7.412603378295898,41767,33668
tests/kernel/threads/thread_init/kernel.threads,arc,nsim_hs,True,,,False,6.788806676864624,27704,20808
tests/kernel/tickless/tickless_concept/kernel.tickless,arc,nsim_hs,True,,,False,7.0284035205841064,28168,21240
tests/kernel/timer/timer_api/kernel.timer,arc,nsim_hs,True,,,False,7.8346052169799805,31224,26400
tests/kernel/timer/timer_api/kernel.timer.tickless,arc,nsim_hs,True,,"CONF_FILE=""prj_tickless.conf""",False,,31316,26488
tests/kernel/timer/timer_monotonic/kernel.timer,arc,nsim_hs,True,,,False,12.492461919784546,25256,20868
tests/kernel/workq/work_queue/kernel.workqueue,arc,nsim_hs,True,,,False,6.737154483795166,34272,27324
tests/kernel/workq/work_queue/kernel.workqueue.poll,arc,nsim_hs,True,,,False,6.772292375564575,37288,30328
tests/kernel/workq/work_queue_api/kernel.workqueue,arc,nsim_hs,True,,,False,6.667299270629883,36504,28388
tests/lib/c_lib/libraries.libc,arc,nsim_hs,True,,,False,6.86227011680603,26467,22069
tests/lib/fdtable/libraries.os.fdtable,arc,nsim_hs,True,,,False,7.189873695373535,27936,22124
tests/lib/json/libraries.encoding,arc,nsim_hs,True,,,False,7.259441375732422,36924,31512
tests/lib/mem_alloc/libraries.libc.minimal,arc,nsim_hs,True,,CONF_FILE=prj.conf,False,7.102059602737427,29582,24980
tests/lib/mem_alloc/libraries.libc.newlib,arc,nsim_hs,True,,CONF_FILE=prj_newlib.conf,False,7.147359132766724,25712,21096
tests/lib/ringbuffer/libraries.data_structures,arc,nsim_hs,True,,,False,7.227523326873779,31373,25860
tests/lib/sprintf/libraries.libc,arc,nsim_hs,True,,,False,7.587968349456787,39220,34832
tests/lib/timeutil/libraries.libc.minimal,arc,nsim_hs,True,,,False,7.597031831741333,29488,25064
tests/misc/test_build/test_debug,arc,nsim_hs,True,,CONF_FILE=debug.conf,False,,29116,23096
tests/portability/cmsis_rtos_v1/portability.cmsis_rtos_v1,arc,nsim_hs,True,,,False,10.07538652420044,65944,49920
tests/portability/cmsis_rtos_v2/portability.cmsis_rtos_v2,arc,nsim_hs,False,timeout,,False,,,
tests/posix/common/portability.posix,arc,nsim_hs,True,,,False,12.325287103652954,83236,53872
tests/posix/common/portability.posix.newlib,arc,nsim_hs,True,,,False,14.417543172836304,83088,53724
tests/posix/fs/portability.posix,arc,nsim_hs,True,,,False,7.17310905456543,131222,38420
tests/posix/fs/portability.posix.newlib,arc,nsim_hs,True,,,False,7.176785469055176,133584,39996
tests/shell/shell,arc,nsim_hs,True,,,False,7.315443277359009,53931,46387
tests/subsys/debug/tracing/tracing.openocd,arc,nsim_hs,True,,,False,7.041278600692749,15696,9676
tests/subsys/jwt/libraries.encoding,arc,nsim_hs,True,,,False,20.084283113479614,105184,60380
tests/subsys/logging/log_core/logging.log_core,arc,nsim_hs,True,,,False,6.985290765762329,31291,22600
tests/subsys/logging/log_list/logging.log_list,arc,nsim_hs,True,,,False,7.412954092025757,37159,30584
tests/subsys/logging/log_msg/logging.log_msg,arc,nsim_hs,True,,,False,7.032718658447266,40239,33664
tests/subsys/logging/log_output/logging.log_output,arc,nsim_hs,True,,,False,7.0453972816467285,37843,30732
tests/subsys/shell/shell_history/shell,arc,nsim_hs,True,,,False,7.14788818359375,50461,42757
tests/ztest/base/testing.ztest.verbose_0,arc,nsim_hs,True,,CONF_FILE=prj_verbose_0.conf,False,7.112054824829102,22636,18248
tests/ztest/base/testing.ztest.verbose_1,arc,nsim_hs,True,,CONF_FILE=prj_verbose_1.conf,False,7.1228532791137695,23096,18708
tests/ztest/base/testing.ztest.verbose_2,arc,nsim_hs,True,,CONF_FILE=prj_verbose_2.conf,False,7.109084844589233,23152,18764
tests/ztest/custom_output/testing.ztest.customized_output,arc,nsim_hs,True,,CONF_FILE=prj_customized_output.conf,False,6.9345715045928955,22372,17956
tests/ztest/custom_output/testing.ztest.regular_output,arc,nsim_hs,True,,,False,6.980658531188965,22396,18008
tests/ztest/mock/testing.ztest.mock,arc,nsim_hs,True,,,False,6.823188304901123,24312,19840
