test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/kernel/mem_protect/stackprot/kernel.memory_protection,arc,nsim_sem_mpu_stack_guard,True,,,False,8.269241094589233,77717,64889
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem,arc,nsim_sem_mpu_stack_guard,True,,,False,8.060981273651123,80593,60797
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem.nouser,arc,nsim_sem_mpu_stack_guard,True,,,False,7.939414978027344,35515,26980
tests/kernel/mem_protect/syscalls/kernel.memory_protection.syscalls,arc,nsim_sem_mpu_stack_guard,False,failed,,False,,,
tests/kernel/mem_protect/userspace/kernel.memory_protection.userspace,arc,nsim_sem_mpu_stack_guard,True,,,False,9.682031393051147,92646,66093
tests/kernel/mem_slab/mslab/kernel.memory_slabs,arc,nsim_sem_mpu_stack_guard,True,,,False,7.281478643417358,31963,22168
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs,arc,nsim_sem_mpu_stack_guard,True,,,False,7.325107097625732,28723,24060
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs,arc,nsim_sem_mpu_stack_guard,True,,,False,7.171309947967529,29155,22588
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs,arc,nsim_sem_mpu_stack_guard,True,,,False,7.234316825866699,28043,20620
tests/kernel/msgq/msgq_api/kernel.message_queue,arc,nsim_sem_mpu_stack_guard,True,,,False,8.389881134033203,76989,61905
tests/kernel/mutex/mutex_api/kernel.mutex,arc,nsim_sem_mpu_stack_guard,True,,,False,8.485671758651733,67829,56513
tests/kernel/mutex/sys_mutex/sys.mutex,arc,nsim_sem_mpu_stack_guard,True,,,False,8.020102739334106,80509,59529
tests/kernel/mutex/sys_mutex/sys.mutex.nouser,arc,nsim_sem_mpu_stack_guard,True,,,False,8.055471897125244,35107,26492
tests/kernel/obj_tracing/kernel.object_tracing,arc,nsim_sem_mpu_stack_guard,True,,,False,7.33868408203125,45775,28336
tests/kernel/pending/kernel.common.timing,arc,nsim_sem_mpu_stack_guard,True,,,False,7.722374200820923,39071,29532
tests/kernel/pipe/pipe/kernel.pipe,arc,nsim_sem_mpu_stack_guard,True,,,False,8.408057689666748,73489,61945
tests/kernel/pipe/pipe_api/kernel.pipe,arc,nsim_sem_mpu_stack_guard,True,,,False,9.636062622070312,75517,60801
tests/kernel/poll/kernel.poll,arc,nsim_sem_mpu_stack_guard,True,,,False,7.980901002883911,82753,68081
tests/kernel/profiling/profiling_api/kernel.profiling,arc,nsim_sem_mpu_stack_guard,True,,,False,7.381169557571411,32704,25272
tests/kernel/queue/kernel.queue,arc,nsim_sem_mpu_stack_guard,True,,,False,9.487209558486938,80009,62585
tests/kernel/queue/kernel.queue.poll,arc,nsim_sem_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,8.916526317596436,84393,66941
tests/kernel/sched/deadline/kernel.sched.deadline,arc,nsim_sem_mpu_stack_guard,True,,,False,7.130516052246094,30227,22380
tests/kernel/sched/preempt/kernel.sched.preempt,arc,nsim_sem_mpu_stack_guard,True,,,False,12.03173542022705,33283,23940
tests/kernel/sched/schedule_api/kernel.sched,arc,nsim_sem_mpu_stack_guard,True,,,False,36.07495737075806,102209,68557
tests/kernel/sched/schedule_api/kernel.sched.multiq,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=prj_multiq.conf,False,38.5737943649292,102449,68545
tests/kernel/sched/schedule_api/kernel.sched.multiq_no_timeslicing,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=prj_multiq.conf,False,10.768443584442139,97897,65345
tests/kernel/sched/schedule_api/kernel.sched_no_timeslicing,arc,nsim_sem_mpu_stack_guard,True,,,False,9.284431457519531,97677,65377
tests/kernel/semaphore/sema_api/kernel.semaphore,arc,nsim_sem_mpu_stack_guard,True,,,False,7.468509912490845,67373,56061
tests/kernel/semaphore/semaphore/kernel.semaphore,arc,nsim_sem_mpu_stack_guard,True,,,False,8.197417736053467,89901,62569
tests/kernel/sleep/kernel.common.timing,arc,nsim_sem_mpu_stack_guard,True,,,False,7.863773345947266,69790,56998
tests/kernel/stack/stack_api/kernel.stack,arc,nsim_sem_mpu_stack_guard,True,,,False,7.5994696617126465,68597,56957
tests/kernel/stack/stack_usage/kernel.stack.usage,arc,nsim_sem_mpu_stack_guard,True,,,False,8.09938931465149,68061,56717
